Company,Slogan,word_count,slogan_clean
Nike,Just Do It,3,just do it
Apple,Think Different,2,think different
Google,Don't Be Evil,3,dont be evil
Amazon,Work Hard. Have Fun. Make History.,6,work hard have fun make history
Tesla,Accelerating the world's transition to sustainable energy,7,accelerating the worlds transition to sustainable energy
Airbnb,Belong Anywhere,2,belong anywhere
Spotify,Music for Everyone,3,music for everyone
Slack,Where Work Happens,3,where work happens
Notion,One workspace. Every team.,4,one workspace every team
Figma,Design Together,2,design together
Stripe,Payments infrastructure for the internet,5,payments infrastructure for the internet
Shopify,Make Commerce Better for Everyone,5,make commerce better for everyone
HubSpot,Grow Better,2,grow better
Zoom,Video Communications Empowering People,4,video communications empowering people
Canva,Empowering the World to Design,5,empowering the world to design
