name,city,tagline,description,word_count,char_count
Campus Bubble,Atlanta,Your Academic Identity,"Campus Bubble (“CB”) is the Academic Community Network just as LinkedIn is the professional community network, and Facebook is the social community network. CB provides academic institutions with a student powered, cross platform, private online community, focused ...",3,22
DueProps,Atlanta,Gamifying the $46 Billion Employee Incentives and Motivation Market,t unprecedented ...,9,67
SalesLoft,Atlanta,Quickly build high-quality prospect lists,build high-quality prospect lists,5,41
REscour,Atlanta,Market intelligence and analytics for commercial real estate,"REscour is a data platform and decision engine that utilizes proprietary market analysis based on massive data aggregation to identify commercial real estate investment opportunities. REscour is not one-size-fits-all and communicates custom, tailored recommendations ...",8,60
viaCycle,Atlanta,"Zipcar for bicycles. Call or text, unlock, and ride. (YC S12)","viaCycle creates bicycle sharing technology that is flexible, inexpensive, and easy to use.  Users can unlock our smart bikes instantly using their cell phone. Operators can place bikes anywhere, with no kiosks or special infrastructure required.  We enable bike ...",11,61
Usable Health,Atlanta,Menu-personalization software to attract regulars,SmartMenus are web-based ordering kiosks and tablets that serve as virtual cashiers and virtual dietitians for the restaurant industry.,5,49
OpenStudy,Atlanta,Social Learning for Open Courses,"rovides real-time study communities for over 40 OpenCourseWare and OER providers, marrying open content with open ...",5,32
We&Co_,Atlanta,People Analytics for Hospitality,"We&Co provides People Analytics to the Hospitality industry to allow them to better recruit, retain, and motivate staff. Our tools gather data on hospitality professionals ranging from work history to social data to point of sale data. This allows our customers ...",4,32
MOVL,Atlanta,Connecting Mobile Devices and SmartTVs,"The MOVL Connect Platform and KontrolTV provide the tools and the gateway for Second Screen TV Apps, allowing developers to easily create and monetize multi-screen, multi-user, compatible solutions for the SmartTV market. Create your application once and seamlessly ...",5,38
Insightpool,Atlanta,The Social Relationship Intelligence Platform,’s platform intelligently predicts the ideal people and precise actions to drive measurable impact. Through proprietary predictive analytics ...,5,45
TripLingo,Atlanta,Customized language and culture learning for travelers,"TripLingo upgrades trips for business and leisure travelers by making it easy and fun to learn the local language and culture by providing customized relevant phrases and content on your smartphone and the web.
TripLingo provides travelers with a quick, easy, and ...",7,54
Agency Spotter,Atlanta,Organizing the world of marketing services,"Agency Spotter is organizing the world of marketing services (advertising agencies, digital agencies, design firms, market research). With almost $1 Trillion spent by brands in this space annually, Agency Spotter is helping build a more efficient, informative marketplace ...",6,42
BitPay,Atlanta,Accept bitcoin.,"rencies are designed for the internet, and are a much safer and more efficient form of payment than credit cards, which were ...",2,15
TransactionTree,Atlanta,Driving consumers to their next purchase.,"TransactionTree transforms delivery of a sales receipt into an opportunity for retailers to increase customer satisfaction, support loyalty programs and enhance relationships while reducing their carbon footprint. Email delivery and online access allows customers ...",6,41
Attentive.ly,Atlanta,We help companies monitor customers on the social web to deliver personalized marketing.,"Attentive.ly reveals what your email marketing list is saying on social media and who has influence. Attentive.ly makes it easy to target the right message to the right people by identifying influentials, as well as trending topics, hashtags, and shared URLs. Using ...",13,88
Whynatte,Atlanta,The name brand ready-to-drink coffee used as a mixer. True innovation in the mixer market.,ts true innovation in the mixer market that is driven largely by brands that have existed ...,15,90
PerfectPost,Atlanta,Social Commerce: Optimized,hms ...,3,26
Pindrop Security,Atlanta,"Securing the Audio Channel, Fighting Bad Guys",e're stopping the bad guys ...,7,45
MOWGLI,Atlanta,We are a game company founded on the mission of connecting people through social creation.,"Mowgli’s first game, Songster, is the first and only music creation social game on Facebook. It enables anyone, regardless of musical talent, to create truly great songs. This is done by easily placing loops of musical content together like building blocks. These ...",15,90
Scoutmob,Atlanta,Inspired goods by independent makers,"Scoutmob's Shoppe is a curated marketplace for independent and inspired goods. We feature authentic products from microretailers across the country in categories such as home decor, art, jewelry and gifts. Our platform is a discovery shopping experience that takes ...",5,36
Sideqik,Atlanta,The Partnership Platform for Marketers,"s a small business or large enterprise, every marketer is trying to leverage marketing partnerships to grow their business and reach new customers. But the way it’s done today is time consuming ...",5,38
Ionic Security,Atlanta,The Unified Data and Mobility Security Platform,"Ionic Security takes a comprehensive approach to securing data in today’s borderless enterprise by providing access control, intellectual property monitoring, data encryption and policy management, without proxies or gateways or changes in user behavior.",7,47
CloudTags,Atlanta,Customers curate collections in a physical store using location-aware tablets.,olves this by allowing physical store shoppers to create digital collections ...,10,78
